270-01-01 s_2s_7s_0s_pt
307-28-02 to
307-28-03 Major
307-28-04 Carlyles_pt
307-28-05 If
307-28-06 any
307-28-07 of
307-28-08 your
307-28-09 men
307-29-01 should
307-29-02 deserts_cm
307-29-03 you
307-29-04 are
307-29-05 to
307-29-06 use
307-29-07 your
307-29-08 utmost
307-29-09 dilis_mi
307-30-01 gence
307-30-02 in
307-30-03 pursuing
307-30-04 and
307-30-05 apprehending
307-30-06 thems_cm
307-30-07 by
307-30-08 ims_mi
307-31-01 mediately
307-31-02 advertisings_cm
307-31-03 and
307-31-04 sending
307-31-05 a
307-31-06 party
307-31-07 or
307-32-01 parties
307-32-02 after
307-32-03 thems_pt
307-33-01 Alexandrias_qo
307-33-02 December
307-33-03 s_1s_6s_cm
307-33-04 s_1s_7s_5s_5s_pt
307-35-01 s_1s_6ths_pt
307-35-02 To
307-35-03 Ensign
307-35-04 Buckners_pt
307-35-05 Quarter
307-35-06 Master
307-35-07 to
307-35-08 the
307-35-09 Virginia
307-36-01 Regiments_pt
307-36-02 s_mi
307-36-03 The
307-36-04 Recruits
307-36-05 now
307-36-06 in
307-36-07 this
307-36-08 town
307-36-09 are
307-36-10 to
307-36-11 res_mi
308-01-01 s_3s_0s_8s_pt
308-01-02 Letters
308-01-03 Orders
308-01-04 and
308-01-05 Instructions
308-01-06 December
308-01-07 s_1s_7s_5s_5s_pt
308-03-01 remain
308-03-02 here
308-03-03 until
308-03-04 the
308-03-05 arrival
308-03-06 of
308-03-07 the
308-03-08 ves_ssel
308-03-09 with
308-04-01 the
308-04-02 Storess_cm
308-04-03 s_etcs_pt
308-04-04 and
308-04-05 to
308-04-06 be
308-04-07 under
308-04-08 the
308-04-09 same
308-04-10 directions
308-05-01 as
308-05-02 before
308-05-03 ordereds_pt
308-05-04 So
308-05-05 soon
308-05-06 as
308-05-07 the
308-05-08 Stores
308-05-09 arrives_cm
308-05-10 you
308-06-01 ares_cm
308-06-02 with
308-06-03 all
308-06-04 pos_ssible
308-06-05 dispaths_cm
308-06-06 to
308-06-07 procure
308-06-08 a
308-06-09 sufs_mi
308-07-01 ficient
308-07-02 number
308-07-03 of
308-07-04 waggons
308-07-05 to
308-07-06 carry
308-07-07 them
308-07-08 to
308-07-09 Wins_mi
308-08-01 chesters_sq
308-08-02 whither
308-08-03 they
308-08-04 are
308-08-05 to
308-08-06 be
308-08-07 sents_cm
308-08-08 under
308-08-09 the
308-09-01 escort
308-09-02 of
308-09-03 the
308-09-04 Soldiers
308-09-05 now
308-09-06 heres_qo
308-09-07 except
308-09-08 the
308-09-09 Suits
308-10-01 of
308-10-02 Clothess_sq
308-10-03 Shoess_cm
308-10-04 Stockings_cm
308-10-05 Shirtss_cm
308-10-06 s_etcs_pt
308-10-07 proportionas_mi
308-11-01 bly
308-11-02 which
308-11-03 are
308-11-04 to
308-11-05 be
308-11-06 left
308-11-07 with
308-11-08 Colonel
308-11-09 Carlyles_pt
308-12-01 You
308-12-02 are
308-12-03 to
308-12-04 be
308-12-05 very
308-12-06 careful
308-12-07 of
308-12-08 all
308-12-09 the
308-13-01 Things
308-13-02 delivered
308-13-03 into
308-13-04 the
308-13-05 waggonss_cm
308-13-06 and
308-13-07 see
308-13-08 that
308-14-01 a
308-14-02 strict
308-14-03 Guard
308-14-04 is
308-14-05 kept
308-14-06 over
308-14-07 thems_cm
308-14-08 that
308-14-09 no
308-14-10 embezs_mi
308-15-01 zlement
308-15-02 is
308-15-03 mades_pt
308-15-04 If
308-15-05 your
308-15-06 men
308-15-07 can
308-15-08 not
308-15-09 be
308-16-01 conveniently
308-16-02 Quartered
308-16-03 on
308-16-04 their
308-16-05 march
308-16-06 ups_sq
308-16-07 there
308-17-01 will
308-17-02 be
308-17-03 a
308-17-04 number
308-17-05 of
308-17-06 Tents
308-17-07 among
308-17-08 the
308-17-09 Storess_cm
308-17-10 which
308-18-01 must
308-18-02 be
308-18-03 made
308-18-04 use
308-18-05 ofs_pt
308-18-06 s_mi
308-18-07 If
308-18-08 any
308-18-09 of
308-18-10 the
308-18-11 Soldiers
308-19-01 should
308-19-02 desert
308-19-03 from
308-19-04 this
308-19-05 places_cm
308-19-06 s_mi
308-19-07 it
308-19-08 would
308-19-09 be
308-19-10 proper
308-20-01 to
308-20-02 send
308-20-03 a
308-20-04 Sergeants_cm
308-20-05 and
308-20-06 one
308-20-07 or
308-20-08 two
308-20-09 trusty
308-20-10 men
308-21-01 in
308-21-02 pursuit
308-21-03 of
308-21-04 thems_pt
308-22-01 Given
308-22-02 at
308-22-03 Alexandria
308-22-04 s_etcs_pt
308-23-01 December
308-23-02 s_1s_6ths_pt
308-23-03 s_1s_7s_5s_5s_pt
308-25-01 s_1s_6ths_pt
308-25-02 To
308-25-03 Doctor
308-25-04 James
308-25-05 Craiks_cm
308-25-06 of
308-25-07 the
308-25-08 Virginia
308-26-01 Regiments_pt
308-27-01 So
308-27-02 soon
308-27-03 as
308-27-04 the
308-27-05 Ves_ssel
308-27-06 with
308-27-07 the
308-28-01 Stores
308-28-02 and
308-28-03 medicines
308-28-04 arrivess_cm
308-28-05 you
308-28-06 are
308-28-07 to
308-28-08 embrace
308-29-01 the
308-29-02 first
308-29-03 opportunity
308-29-04 that
308-29-05 offerss_cm
308-29-06 of
308-29-07 conveying
308-29-08 up
308-30-01 your
308-30-02 Chests_cm
308-30-03 and
308-30-04 proceedings_cm
308-30-05 yourselfs_cm
308-30-06 to
308-30-07 Winchess_mi
308-31-01 ters_pt
308-31-02 You
308-31-03 are
308-31-04 to
308-31-05 provide
308-31-06 yourself
308-31-07 heres_cm
308-31-08 with
308-32-01 what
308-32-02 you
308-32-03 think
308-32-04 will
308-32-05 be
308-32-06 wanting
308-32-07 for
308-32-08 the
308-32-09 Hoss_mi
308-33-01 pitals_cm
308-33-02 and
308-33-03 bring
308-33-04 them
308-33-05 up
308-33-06 with
308-33-07 yous_sq
308-33-08 taking
308-34-01 care
308-34-02 to
308-34-03 purchase
308-34-04 no
308-34-05 more
308-34-06 than
308-34-07 is
308-34-08 absolutely
308-35-01 neces_ssarys_cm
308-35-02 for
308-35-03 the
308-35-04 support
308-35-05 and
308-35-06 relief
308-35-07 of
308-35-08 the
308-35-09 Regiment
309-01-01 ps_pts_3s_0s_9s_pt
309-02-01 Letters
309-02-02 Orders
309-02-03 and
309-02-04 Instructions
309-02-05 December
309-02-06 s_1s_7s_5s_5s_pt
309-04-01 Given
309-04-02 at
309-04-03 Alexandria
309-04-04 s_etcs_pt
309-05-01 December
309-05-02 s_1s_6ths_pt
309-05-03 s_1s_7s_5s_5s_pt
309-07-01 s_1s_6ths_pt
309-07-02 To
309-07-03 Captain
309-07-04 John
309-07-05 Mercers_pt
309-07-06 of
309-07-07 the
309-08-01 Virginia
309-08-02 Regiments_pt
309-09-01 You
309-09-02 are
309-09-03 immediatelys_cm
309-09-04 upon
309-09-05 receipt
309-10-01 hereofs_cm
309-10-02 to
309-10-03 repair
309-10-04 to
309-10-05 Winchesters_cm
309-10-06 where
309-10-07 you
309-10-08 will
309-10-09 meet
309-11-01 with
309-11-02 Colonel
309-11-03 Washingtons_cm
309-11-04 and
309-11-05 receive
309-11-06 further
309-11-07 orderss_pt
309-12-01 I
309-12-02 am
309-12-03 s_etcs_pt
309-13-01 s_GW
309-13-02 aid
309-13-03 de
309-13-04 camps_pt
309-14-01 Alexandrias_qo
309-14-02 December
309-14-03 s_1s_6ths_pt
309-14-04 s_1s_7s_5s_5s_pt
309-15-01 Ns_qoBs_pt
309-15-02 A
309-15-03 Copy
309-15-04 left
309-15-05 at
309-15-06 Alexandrias_cm
309-15-07 and
309-15-08 another
309-16-01 sent
309-16-02 to
309-16-03 Staffords_cm
309-16-04 to
309-16-05 him
309-16-06 theres_pt
309-18-01 s_2s_0ths_pt
309-18-02 Parole
309-18-03 Abbemarles_pt
309-18-04 Winchesters_qo
309-18-05 December
309-18-06 s_2s_0ths_pt
309-18-07 s_1s_7s_5s_5s_pt
309-19-01 A
309-19-02 Return
309-19-03 to
309-19-04 be
309-19-05 given
309-19-06 in
309-19-07 immedis_mi
309-20-01 ately
309-20-02 of
309-20-03 the
309-20-04 Recruits
309-20-05 now
309-20-06 in
309-20-07 this
309-20-08 towns_cm
309-20-09 by
309-20-10 the
309-20-11 several
309-21-01 Officers
309-21-02 who
309-21-03 enlisted
309-21-04 thems_sq
309-21-05 mentioning
309-21-06 their
309-21-07 heights_cm
309-22-01 ages_cm
309-22-02 trades_cm
309-22-03 s_etcs_pt
309-22-04 The
309-22-05 officers
309-22-06 to
309-22-07 see
309-22-08 that
309-22-09 the
309-22-10 Serges_mi
309-23-01 ants
309-23-02 who
309-23-03 understand
309-23-04 the
309-23-05 manual
309-23-06 Exercises_cm
309-23-07 do
309-24-01 drill
309-24-02 the
309-24-03 Recruitss_cm
309-24-04 at
309-24-05 least
309-24-06 twice
309-24-07 as_midays_pt
309-26-01 s_2s_2nds_pt
309-26-02 Parole
309-26-03 Bostons_mi
309-26-04 Winchesters_qo
309-26-05 December
309-26-06 s_2s_2nds_pt
309-26-07 s_1s_7s_5s_5s_pt
309-27-01 A
309-27-02 Return
309-27-03 is
309-27-04 to
309-27-05 be
309-27-06 made
309-27-07 every
309-27-08 mors_mi
309-28-01 ning
309-28-02 to
309-28-03 Colonel
309-28-04 Washington
309-28-05 of
309-28-06 the
309-28-07 number
309-28-08 of
309-29-01 men
309-29-02 in
309-29-03 this
309-29-04 town
309-29-05 s_mi
309-29-06 and
309-29-07 all
309-29-08 contingencess_pt
309-30-01 During
309-30-02 his
309-30-03 stay
309-30-04 heres_cm
309-30-05 no
309-30-06 provision
309-30-07 is
309-30-08 to
309-30-09 be
309-30-10 des_mi
309-31-01 livered
309-31-02 outs_cm
309-31-03 but
309-31-04 by
309-31-05 a
309-31-06 written
309-31-07 order
309-31-08 from
309-31-09 him
309-31-10 or
309-32-01 the
309-32-02 aid
309-32-03 de
309-32-04 camps_pt
309-32-05 The
309-32-06 Commis_ssary
309-32-07 is
309-32-08 to
309-32-09 send
309-33-01 up
309-33-02 the
309-33-03 Cask
309-33-04 of
309-33-05 Tools
309-33-06 by
309-33-07 the
309-33-08 first
309-33-09 waggon
309-33-10 that
309-34-01 goes
309-34-02 to
309-34-03 the
309-34-04 Forts_pt
309-34-05 The
309-34-06 following
309-34-07 men
309-34-08 being
309-34-09 judgs_mi
309-35-01 ed
309-35-02 unfit
309-35-03 for
309-35-04 Dutys_cm
309-35-05 on
309-35-06 Reviews_sq
309-35-07 are
309-35-08 ordered
309-35-09 to
309-35-10 be
309-36-01 dischargeds_qo
309-36-02 vizs_pt
